!Kheis	Kheis
algoritmeontwerp	algoritme-ontwerp
Aliwalbank	Aliwal-bank
Aliwalsandbank	Aliwal-sandbank
alkoholafhanklik	alkohol-afhanklik
alkoholafhanklike	alkohol-afhanklike
alkoholgebaseer	alkohol-gebaseer
alkoholgebaseerd	alkohol-gebaseerd
alkoholgebaseerde	alkohol-gebaseerde
alkohollimiet	alkohol-limiet
alkohollimiete	alkohol-limiete
alleenouerskap	alleen-ouerskap
Alliance_française	Alliance_francaise
Alliance_française	Alliance_Francaise
Alliance_française	Alliance_Française
allogtone	allochtone
allogtoon	allochtoon
allokasieanalise	allokasie-analise
alma_mater	Alma_mater
aloëjel	aloejel
aloësap	aloesap
alter_ego	Alter_ego
aluminiumnywerheid	aluminium-nywerheid
aluminiumsmelter	aluminium-smelter
aluminiumsmelters	aluminium-smelters
alveolaar	alweolaar
alveolare	alweolare
alveole	alweole
alveolêr	alweolêr
alveolêre	alweolêre
alveool	alweool
Alwyn_Taljaardlaan	Alwyn_Taljaard-laan
alzheimerlyer	Alzheimer-lyer
alzheimerlyers	Alzheimer-lyers
Amabokhobokho	Amabokoboko
amaHlubi	Amahlubi
amalaita	amaleita
amalaitas	amaleitas
Amalfikus	Amalfi-kus
Amaliënstein	Amalienstein
Amasonegebied	Amasone-gebied
amasonelamantyn	Amasone-lamantyn
amasonelamantyne	Amasone-lamantyne
Amatholemuseum	Amathole-museum
aMatikulu	Amatikulu
ambassadepersoneel	ambassade-personeel
amfetamienpsigose	amfetamien-psigose
amfetaminepsigose	amfetamine-psigose
amici_curiae	Amici_curiae
amicus_curiae	Amicus_curiae
amigurumipop	amigurumi-pop
amigurumipoppe	amigurumi-poppe
ammunisieopslagplek	ammunisie-opslagplek
ammunisieopslagplekke	ammunisie-opslagplekke
amnestietydperk	amnestie-tydperk
anachronisme	anakronisme
anachronismes	anakronismes
anachronisties	anakronisties
anachronistiese	anakronistiese
analiseoperasie	analise-operasie
analiseoperasies	analise-operasies
anargokapitalis	anargo-kapitalis
anargokapitalisme	anargo-kapitalisme
anargokapitaliste	anargo-kapitaliste
anargokommunis	anargo-kommunis
anargokommunisme	anargo-kommunisme
anargokommuniste	anargo-kommuniste
anargosindikalisme	anargo-sindikalisme
anargososialis	anargo-sosialis
anargososialisme	anargo-sosialisme
anargososialiste	anargo-sosialiste
anatomiedepartement	anatomie-departement
anatomiedepartemente	anatomie-departemente
Anaximenes	Anaksimenes
Andamansee	Andaman-see
anderjanstorie	annerjanstorie
anderjanstories	annerjanstories
Andesgebergte	Andes-gebergte
Andimba_Toivo_ya_Toivostraat	Andimba_Toivo_ya_Toivo-straat
Andimba_Toivo_ya_Toivostraat	Andimba_Toivo-ya-Toivostraat
Andimba_Toivo_ya_Toivostraat	Andimba_Toivo-ya-Toivo-straat
Andries_Potgieterboulevard	Andries_Potgieter-boulevard
Andries_Pretoriusstraat	Andries_Pretorius-straat
Androidbedryfstelsel	Android-bedryfstelsel
Androidfone	Android-fone
Androidfoon	Android-foon
Androidtoestel	Android-toestel
Androidtoestelle	Android-toestelle
Andromedasterrestelsel	Andromeda-sterrestelsel
Angeliquekeerweg	Angelique_Keerweg
